Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0xc53af37b73818d09876db5da099b569be8b4379e,0,0,0,0,0,0
0xa3d67d56a06ad6c253a57c6d4bdaf2948c08d270,0,0,0,0,0,0
0x5054a3283e57cc1bd1109f596a0a5a31887d56fb,0,0,0,0,0,0
0x2155df680e53eb3d978158bbeb597e7615341af7,0,0,0,0,0,0
0x06e64c7b3e1e9dc31aca77068ce0d6dafa55a4ea,0,0,0,0,0,0
0xca11d10ceb098f597a0cab28117fc3465991a63c,0,0,0,0,0,0
0x077777f53544c2b2ef753c19e8fc048049c5ff95,0,0,0,0,0,0
0xf450a188a00a82ca95fdff613a34aafb81a7c5d0,0,0,0,0,0,0
0xc2a175337ae648d80970c20b2906dedb1e7c3b0a,0,0,0,0,0,0
0xbfe8270d85cae24420af050ff74c735c0f218a29,0,0,0,0,0,0
0x5f82c97e9b1755237692a946ae814998bc0e2124,0,0,0,0,0,0
0x64a302b702951c8106d4b4d3033c75d0bed3b138,0,0,0,0,0,0
0xf03ead9442a4f76367c6a8efd6eb87d357b34a68,0,0,0,0,0,0
0x6405127e97c3c9d0fb49a48a3332f82581a1ee03,0,0,0,0,0,0
0xebba70aada0920296c789551c80e6c3a6c039f75,0,0,0,0,0,0
0xdd69c8b49873d6b9bf0e4fd90a5bfcb819cc2456,0,0,0,0,0,0
0xfb06e716aac5654144df6e421c9daa10bd1ff3a4,0,0,0,0,0,0
0xe9216959374d0d105d4b83938496fb468bf36073,0,0,0,0,0,0
0x8928b26de9ecc59cacdba095c6ed6237f48ddbd2,0,0,0,0,0,0
0x1cdfb7f34e9d8bbaf5583a58783bfc4b67d3127b,0,0,0,0,0,0
0x62f5048e943ba5c2f51d5d4480f03de876347b35,0,0,0,0,0,0
0xbcb05a3f85d34f0194c70d5914d5c4e28f11cc02,0,0,0,0,0,0
0x85b7fb4766146e2f77d980b597816a781ef548e2,0,0,0,0,0,0
0xee88a8f50f1b77adc695dfcc34b0c820ec8a3278,0,0,0,0,0,0
0xd9c4575f40acb46668bb1cef728319cc656e712c,0,0,0,0,0,0
0x1146cc7887efd6349086afc58cd99ebafc521aca,0,0,0,0,0,0
